"K","PAC_REAL","PAC_REF","RCSI","MONTECARLO_P","BETA_P","P_SCORE"
2,0.673469387755102,0.577379591836735,-0.153942620664986,0.663366336633663,0.697210542331884,0.156636054663094
3,0.44734693877551,0.541085714285714,0.190243260102707,0.188118811881188,0.199236398430982,0.700631317550415
4,0.340408163265306,0.471175510204082,0.32508527993351,0.0396039603960396,0.0331331423759042,1.47973737330012
5,0.32,0.401804081632653,0.227643614904438,0.0891089108910891,0.0784879287304381,1.10519713164814
6,0.310204081632653,0.347420408163265,0.11330518879036,0.237623762376238,0.228899970714563,0.640354262889042
7,0.284081632653061,0.303167346938776,0.0650233173979753,0.316831683168317,0.33674563806941,0.472698021067946
8,0.26530612244898,0.270040816326531,0.0176887808197983,0.455445544554455,0.465143162816558,0.332413358395832
9,0.246530612244898,0.24134693877551,-0.0212506951080307,0.564356435643564,0.56967334332773,0.244374101969555
10,0.213061224489796,0.21905306122449,0.0277344258396324,0.445544554455446,0.446293902472399,0.350379046703456
